partido_sigla,partido_nome,partido_numero_tse
AGIR,AGIR,36
AVANTE,AVANTE,70
CIDADANIA,CIDADANIA,23
DC,Democracia Cristã,27
DEMOCRATA,DEMOCRATA,35
MDB,Movimento Democrático Brasileiro,15
MISSÃO,Partido Missão,14
MOBILIZA,Mobilização Nacional,33
NOVO,Partido Novo,30
PCB,Partido Comunista Brasileiro,21
PCdoB,Partido Comunista do Brasil,65
PCO,Partido da Causa Operária,29
PDT,Partido Democrático Trabalhista,12
PL,Partido Liberal,22
PODE,PODEMOS,20
PP,Progressistas,11
PRD,Partido Renovação Democrática,25
PRTB,Partido Renovador Trabalhista Brasileiro,28
PSB,Partido Socialista Brasileiro,40
PSD,Partido Social Democrático,55
PSDB,Partido da Social Democracia Brasileira,45
PSOL,Partido Socialismo e Liberdade,50
PSTU,Partido Socialista dos Trabalhadores Unificado,16
PT,Partido dos Trabalhadores,13
PV,Partido Verde,43
REDE,Rede Sustentabilidade,18
REPUBLICANOS,REPUBLICANOS,10
SOLIDARIEDADE,SOLIDARIEDADE,77
UNIÃO,União Brasil,44
UP,Unidade Popular,80
